Pricing Date,BP. | Share Price (Daily)($)
03/07/2025,5.340006457862447
03/06/2025,5.28014042514746
03/05/2025,5.253742100724609
03/04/2025,5.186550562511918
03/03/2025,5.500057192969077
02/28/2025,5.503750125843149
02/27/2025,5.526943613435831
02/26/2025,5.469870647524023
02/25/2025,5.529049975322391
02/24/2025,5.641829140394991
02/21/2025,5.657038113899247
02/20/2025,5.711181026749049
02/19/2025,5.824815499314801
02/18/2025,5.833890564085741
02/17/2025,5.836980789364144
02/14/2025,5.898968500163931
02/13/2025,5.816563224876184
02/12/2025,5.817850094947313
02/11/2025,5.742307357855377
02/10/2025,5.76222684703434
02/07/2025,5.372976995101382
02/06/2025,5.338277565546333
02/05/2025,5.307402446199877
02/04/2025,5.270582360651645
02/03/2025,5.215512424095667
01/31/2025,5.251643857751924
01/30/2025,5.253842222693108
01/29/2025,5.1764647381310525
01/28/2025,5.202646404098942
01/27/2025,5.2051733393256185
01/24/2025,5.243733373299861
01/23/2025,5.22870574880002
01/22/2025,5.249707494303837
01/21/2025,5.258781061735393
01/20/2025,5.285297843814959
01/17/2025,5.294598120131176
01/16/2025,5.2460941801142695
01/15/2025,5.1764648294091735
01/14/2025,5.124750012194527
01/13/2025,5.242298246893768
01/10/2025,5.185600839259793
01/09/2025,5.197152447346096
01/08/2025,5.191854074815062
01/07/2025,5.27058588432188
01/06/2025,5.185347526612398
01/03/2025,5.0642418223573955
01/02/2025,4.988183764120712
12/31/2024,4.920064599321457
12/30/2024,4.839638106440755
12/27/2024,4.853005980484734
12/24/2024,4.779545426053381
12/23/2024,4.764407734184344
12/20/2024,4.765586693320258
12/19/2024,4.760917894419533
12/18/2024,4.867211699588687
12/17/2024,4.830285547267159
12/16/2024,4.886311729178297
12/13/2024,4.997854185600322
12/12/2024,5.043121515032198
12/11/2024,5.023392782020066
12/10/2024,5.041234879481983
12/09/2024,5.036831470445303
12/06/2024,4.815046142864427
12/05/2024,4.8369814786468694
12/04/2024,4.887088981003484
12/03/2024,4.907260872317528
12/02/2024,4.812665174563433
11/29/2024,4.886864605963588
11/28/2024,4.886598460933835
11/27/2024,4.865676178895771
11/26/2024,4.811046146897192
11/25/2024,4.871447052765112
11/22/2024,4.913602182154878
11/21/2024,4.898339908991215
11/20/2024,4.8219950206629845
11/19/2024,4.851649535493847
11/18/2024,4.894547845437993
11/15/2024,4.836773125387055
11/14/2024,4.821505759109055
11/13/2024,4.70687747236673
11/12/2024,4.682380837040909
11/11/2024,4.801812587700666
11/08/2024,4.824867519710481
11/07/2024,4.9528087553714935
11/06/2024,4.97868119694452
11/05/2024,5.0091050988553585
11/04/2024,4.948507027657231
11/01/2024,4.8975046294497755
10/31/2024,4.848114300424765
10/30/2024,4.864362255513941
10/29/2024,4.930895947369105
10/28/2024,5.182107381678894
10/25/2024,5.2565983356485395
10/24/2024,5.208778957466392
10/23/2024,5.211528257690467
10/22/2024,5.2758992198756465
10/21/2024,5.258680036889345
10/18/2024,5.211471497319926
10/17/2024,5.203658171694702
10/16/2024,5.141657240186709
10/15/2024,5.138241608629627
10/14/2024,5.33006186212837
10/11/2024,5.3544573618067455
10/10/2024,5.360987512559208
10/09/2024,5.3177012456819845
10/08/2024,5.318007562574415
10/07/2024,5.522772769498489
10/04/2024,5.458366614725871
