"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","OECD"
"2013-01-01 00:00:00",98.9063
"2013-02-01 00:00:00",99.02272
"2013-03-01 00:00:00",99.13143
"2013-04-01 00:00:00",99.23705
"2013-05-01 00:00:00",99.38258
"2013-06-01 00:00:00",99.51213
"2013-07-01 00:00:00",99.61739
"2013-08-01 00:00:00",99.63107
"2013-09-01 00:00:00",99.57835
"2013-10-01 00:00:00",99.50628
"2013-11-01 00:00:00",99.53395
"2013-12-01 00:00:00",99.61945
"2014-01-01 00:00:00",99.67388
"2014-02-01 00:00:00",99.72088
"2014-03-01 00:00:00",99.80766
"2014-04-01 00:00:00",99.91544
"2014-05-01 00:00:00",99.96757
"2014-06-01 00:00:00",99.97993
"2014-07-01 00:00:00",99.95734
"2014-08-01 00:00:00",99.93906
"2014-09-01 00:00:00",99.9508
"2014-10-01 00:00:00",100.0051
"2014-11-01 00:00:00",100.1133
"2014-12-01 00:00:00",100.2999
"2015-01-01 00:00:00",100.5047
"2015-02-01 00:00:00",100.64
"2015-03-01 00:00:00",100.6987
"2015-04-01 00:00:00",100.6954
"2015-05-01 00:00:00",100.6285
"2015-06-01 00:00:00",100.5773
"2015-07-01 00:00:00",100.4701
"2015-08-01 00:00:00",100.3828
"2015-09-01 00:00:00",100.3557
"2015-10-01 00:00:00",100.4627
"2015-11-01 00:00:00",100.599
"2015-12-01 00:00:00",100.6446
"2016-01-01 00:00:00",100.5762
"2016-02-01 00:00:00",100.4671
"2016-03-01 00:00:00",100.4026
"2016-04-01 00:00:00",100.4052
"2016-05-01 00:00:00",100.4569
"2016-06-01 00:00:00",100.4462
"2016-07-01 00:00:00",100.3675
"2016-08-01 00:00:00",100.3515
"2016-09-01 00:00:00",100.3868
"2016-10-01 00:00:00",100.4245
"2016-11-01 00:00:00",100.4963
"2016-12-01 00:00:00",100.5532
"2017-01-01 00:00:00",100.5474
"2017-02-01 00:00:00",100.5706
"2017-03-01 00:00:00",100.6692
"2017-04-01 00:00:00",100.7751
"2017-05-01 00:00:00",100.8454
"2017-06-01 00:00:00",100.8699
"2017-07-01 00:00:00",100.9014
"2017-08-01 00:00:00",100.9644
"2017-09-01 00:00:00",101.0394
"2017-10-01 00:00:00",101.128
"2017-11-01 00:00:00",101.1539
"2017-12-01 00:00:00",101.1466
"2018-01-01 00:00:00",101.1458
"2018-02-01 00:00:00",101.1625
"2018-03-01 00:00:00",101.1696
"2018-04-01 00:00:00",101.1552
"2018-05-01 00:00:00",101.1488
"2018-06-01 00:00:00",101.1634
"2018-07-01 00:00:00",101.1841
"2018-08-01 00:00:00",101.1373
"2018-09-01 00:00:00",101.067
"2018-10-01 00:00:00",100.9755
"2018-11-01 00:00:00",100.87
"2018-12-01 00:00:00",100.7923
"2019-01-01 00:00:00",100.7639
"2019-02-01 00:00:00",100.8298
"2019-03-01 00:00:00",100.9079
"2019-04-01 00:00:00",100.9207
"2019-05-01 00:00:00",100.8886
"2019-06-01 00:00:00",100.7939
"2019-07-01 00:00:00",100.6662
"2019-08-01 00:00:00",100.516
"2019-09-01 00:00:00",100.4959
"2019-10-01 00:00:00",100.5703
"2019-11-01 00:00:00",100.7133
"2019-12-01 00:00:00",100.8168
"2020-01-01 00:00:00",100.7465
"2020-02-01 00:00:00",100.2605
"2020-03-01 00:00:00",99.21683
"2020-04-01 00:00:00",98.10237
"2020-05-01 00:00:00",97.7552
"2020-06-01 00:00:00",97.95926
"2020-07-01 00:00:00",98.23467
"2020-08-01 00:00:00",98.48769
"2020-09-01 00:00:00",98.70325
"2020-10-01 00:00:00",98.78542
"2020-11-01 00:00:00",98.7989
"2020-12-01 00:00:00",98.9134
"2021-01-01 00:00:00",99.05231
"2021-02-01 00:00:00",99.32757
"2021-03-01 00:00:00",99.73365
"2021-04-01 00:00:00",100.0559
"2021-05-01 00:00:00",100.2999
"2021-06-01 00:00:00",100.4513
"2021-07-01 00:00:00",100.3518
"2021-08-01 00:00:00",100.1133
"2021-09-01 00:00:00",99.95087
"2021-10-01 00:00:00",99.76964
"2021-11-01 00:00:00",99.54459
"2021-12-01 00:00:00",99.30579
"2022-01-01 00:00:00",98.97148
"2022-02-01 00:00:00",98.50826
"2022-03-01 00:00:00",97.96496
"2022-04-01 00:00:00",97.57094
"2022-05-01 00:00:00",97.19828
"2022-06-01 00:00:00",96.82765
"2022-07-01 00:00:00",96.62933
"2022-08-01 00:00:00",96.63872
"2022-09-01 00:00:00",96.66267
"2022-10-01 00:00:00",96.76235
"2022-11-01 00:00:00",96.94542
"2022-12-01 00:00:00",97.21803
"2023-01-01 00:00:00",97.52169
"2023-02-01 00:00:00",97.76611
"2023-03-01 00:00:00",97.93002
"2023-04-01 00:00:00",98.13392
"2023-05-01 00:00:00",98.31815
"2023-06-01 00:00:00",98.49659
"2023-07-01 00:00:00",98.58123
"2023-08-01 00:00:00",98.48427
"2023-09-01 00:00:00",98.32611
"2023-10-01 00:00:00",98.22498
"2023-11-01 00:00:00",98.33526
"2023-12-01 00:00:00",98.66128
"2024-01-01 00:00:00",99.00333
"2024-02-01 00:00:00",99.18728
"2024-03-01 00:00:00",99.24164
"2024-04-01 00:00:00",99.16171
"2024-05-01 00:00:00",99.01749
"2024-06-01 00:00:00",98.93638
"2024-07-01 00:00:00",98.91679
"2024-08-01 00:00:00",98.95515
"2024-09-01 00:00:00",99.02807
"2024-10-01 00:00:00",99.09721
"2024-11-01 00:00:00",99.10517
"2024-12-01 00:00:00",99.04943
