Pricing Date,A043370 | Share Price (Daily)($)
03/07/2025,7.405514068404292
03/06/2025,7.433297574142645
03/05/2025,7.498649827593369
03/04/2025,7.292916138318653
02/28/2025,7.175066131220789
02/27/2025,7.529236231513653
02/26/2025,7.634867524919845
02/25/2025,7.434606873346411
02/24/2025,7.429035555742273
02/21/2025,7.335645934684135
02/20/2025,7.0440689775300465
02/19/2025,7.005339054244513
02/18/2025,7.03040249228116
02/17/2025,7.014500797890793
02/14/2025,7.073816456004058
02/13/2025,7.093425605536332
02/12/2025,6.92635933237592
02/11/2025,6.990550703876139
02/10/2025,7.032348804500703
02/07/2025,7.019475603881357
02/06/2025,6.952852052993877
02/05/2025,6.966105219380328
02/04/2025,6.897122520484453
02/03/2025,6.854469086481235
01/31/2025,6.908510404051524
01/24/2025,6.994867629657119
01/23/2025,6.918799905241007
01/22/2025,6.952668905268144
01/21/2025,6.912153696227204
01/20/2025,7.00583819849875
01/17/2025,7.026581495981867
01/16/2025,7.0135467135151455
01/15/2025,7.066020551946937
01/14/2025,7.023867444203082
01/13/2025,6.813252765539536
01/10/2025,6.846015537537741
01/09/2025,6.829000993184698
01/08/2025,6.835803720649881
01/07/2025,6.8583614225768725
01/06/2025,6.836646617983532
01/03/2025,6.790085658495432
01/02/2025,6.787837608289451
12/30/2024,6.824734574810895
12/27/2024,6.9209798149419735
12/26/2024,6.893592092804643
12/24/2024,6.855613505352731
12/23/2024,6.890041822553863
12/20/2024,6.846851831359964
12/19/2024,6.8305916385807315
12/18/2024,6.913484076034414
12/17/2024,6.919837098402311
12/16/2024,6.890653464795784
12/13/2024,6.982773038969727
12/12/2024,6.905091718087562
12/11/2024,6.993691690095535
12/10/2024,6.763224269355188
12/09/2024,6.532607021327246
12/06/2024,7.003332911445808
12/05/2024,6.994093876282251
12/04/2024,6.994145588662123
12/03/2024,7.076185049976435
12/02/2024,7.1667735271069315
11/29/2024,7.4533983777056125
11/28/2024,7.408840451982258
11/27/2024,7.173889626943378
11/26/2024,6.851963227081364
11/25/2024,6.776130900583461
11/22/2024,6.665054344733398
11/21/2024,6.745651770019008
11/20/2024,6.8976350965383295
11/19/2024,6.85236528709543
11/18/2024,6.886261907494549
11/15/2024,6.711024845832647
11/14/2024,6.6253060991368535
11/13/2024,6.6259137348779555
11/12/2024,6.810458817340366
11/11/2024,7.010029624870614
11/08/2024,7.113078609188981
11/07/2024,7.211538461538462
11/06/2024,7.13749866037938
11/05/2024,7.269801693146237
11/04/2024,7.286252929787017
11/01/2024,7.266049185563717
10/31/2024,7.194976598156923
10/30/2024,7.285934883316297
10/29/2024,7.296736355681547
10/28/2024,7.406498372158496
10/25/2024,7.362794115528147
10/24/2024,7.369708903737703
10/23/2024,7.334467653766788
10/22/2024,7.257684073012302
10/21/2024,7.311700169567675
10/18/2024,7.388892543138416
10/17/2024,7.512977957550579
10/16/2024,7.556748983874044
10/15/2024,7.645742378104708
10/14/2024,7.651746129939759
10/11/2024,7.628216996852435
10/10/2024,7.470082688638078
10/08/2024,7.585551048306809
10/07/2024,7.596746804897667
10/04/2024,7.390659747961452
10/02/2024,7.451745038467933
09/30/2024,7.621382508127698
09/27/2024,7.754249925439904
09/26/2024,7.718637816012569
09/25/2024,7.49375520399667
09/24/2024,7.5732507069370065
09/23/2024,7.461511349746159
09/20/2024,7.521160279293236
09/19/2024,7.4800957211444405
09/13/2024,7.567429182416458
09/12/2024,7.279562032907201
09/11/2024,7.2471339861476
09/10/2024,7.301173402868318
09/09/2024,7.480851253879994
09/06/2024,7.358572737238883
09/05/2024,7.412565421505425
09/04/2024,7.444410326310823
09/03/2024,7.508079021412205
09/02/2024,7.504858723277022
08/30/2024,7.663552802103544
08/29/2024,7.696981972858011
08/28/2024,7.870710462797775
08/27/2024,8.020867787232763
08/26/2024,8.059535107937513
08/23/2024,8.128177429954903
08/22/2024,7.996184486060705
08/21/2024,8.155884692147241
08/20/2024,8.158516906218336
08/19/2024,8.051868138465117
08/16/2024,8.001535349956448
08/14/2024,8.16597755463674
08/13/2024,8.463294028147585
08/12/2024,8.251789104717394
08/09/2024,7.922186523480481
08/08/2024,7.431406591650383
08/07/2024,7.602015553549064
08/06/2024,7.438400743840074
08/05/2024,7.180027666161649
08/02/2024,8.297287538594176
08/01/2024,8.694697551871775
07/31/2024,8.671005822065409
07/30/2024,8.52404068423486
07/29/2024,8.539956865980574
07/26/2024,8.258068248378397
07/25/2024,8.245513789536878
07/24/2024,8.324088374554972
07/23/2024,8.230333833891649
07/22/2024,8.16482423648444
07/19/2024,8.237861036501501
07/18/2024,8.290470299715695
07/17/2024,8.600639070232512
07/16/2024,8.937402089244076
07/15/2024,8.682628231565696
07/12/2024,8.71811665393152
07/11/2024,8.827735138763241
07/10/2024,8.917722617601111
07/09/2024,9.090120816232151
07/08/2024,9.077363731049648
07/05/2024,9.038524263400136
07/04/2024,9.047674283725787
07/03/2024,9.01414961465955
07/02/2024,9.223507675430684
07/01/2024,9.468396516208305
06/28/2024,9.731494920174166
06/27/2024,10.083742669811523
06/26/2024,10.1515913499533
06/25/2024,9.991517991920526
06/24/2024,9.543870786233164
06/21/2024,9.67570211786372
06/20/2024,9.998560322487762
06/19/2024,10.163896449875487
06/18/2024,10.123539038625863
06/17/2024,9.896259402170372
06/14/2024,9.661172492033325
06/13/2024,9.95965250263531
06/12/2024,9.646019643602646
06/11/2024,9.516285677011611
06/10/2024,9.770967929689773
06/07/2024,9.666182873730044
06/05/2024,9.172372057075778
06/04/2024,8.970208431850423
06/03/2024,9.01826983363224
05/31/2024,8.749539022220935
05/30/2024,8.989074816761166
05/29/2024,9.02763068517964
05/28/2024,9.148854737090032
05/27/2024,9.165815257738021
05/24/2024,9.148641620825796
05/23/2024,9.238382477819098
05/22/2024,8.967986119753729
05/21/2024,9.104114091202536
05/20/2024,8.675577514079432
05/17/2024,8.454409743263815
05/16/2024,8.218323818291152
05/14/2024,8.03945709846686
05/13/2024,8.022407160930804
05/10/2024,7.936797681023971
05/09/2024,8.034805282316837
05/08/2024,8.08886023270127
05/07/2024,8.072720838678284
05/03/2024,8.119699128239574
05/02/2024,8.04179984529387
04/30/2024,8.135838150289016
04/29/2024,8.083510220697274
04/26/2024,8.020749329787929
04/25/2024,8.132922682626708
04/24/2024,8.132385645140191
04/23/2024,8.195765885215566
04/22/2024,7.812103319962572
04/19/2024,7.720043034514843
04/18/2024,7.605971450365043
04/17/2024,7.561409342605579
04/16/2024,7.615216063795395
04/15/2024,7.653888564571577
04/12/2024,7.718690205422578
04/11/2024,7.798295765700643
04/09/2024,7.97840875480627
04/08/2024,7.980669046088364
04/05/2024,8.02423525934683
04/04/2024,8.066434710203112
04/03/2024,8.05721662487202
04/02/2024,8.164322723908215
04/01/2024,8.186797773545349
03/29/2024,8.266738098427012
03/28/2024,8.223037852667481
03/27/2024,8.21061827658456
03/26/2024,8.201479540955301
03/25/2024,8.212985617950707
03/22/2024,8.338110375736099
03/21/2024,8.421194714819205
03/20/2024,8.285517900902516
03/19/2024,8.372141698498247
03/18/2024,8.53740732419681
03/15/2024,8.535128515293358
03/14/2024,8.77153184217292
03/13/2024,8.572949946751866
03/12/2024,8.64269981479929
03/11/2024,8.578487441094387
03/08/2024,8.646562269684605
03/07/2024,8.640744433366567
03/06/2024,9.010770804500872
03/05/2024,8.689132960977622
03/04/2024,8.994251793966262
02/29/2024,8.772914748527242
02/28/2024,8.743627557398773
02/27/2024,8.761317954690611
02/26/2024,8.857395925597874
02/23/2024,9.1628644662763
02/22/2024,9.003380031466662
02/21/2024,8.995906862377618
02/20/2024,9.200405238077371
02/19/2024,9.301314625773859
02/16/2024,10.000675214380566
02/15/2024,9.236175772684948
02/14/2024,9.238812023975845
02/13/2024,9.252275731258353
02/08/2024,9.401093290082297
02/07/2024,9.430338271958302
02/06/2024,9.032559400943184
02/05/2024,9.499550494456098
02/02/2024,9.423017910470104
02/01/2024,7.892422522718902
01/31/2024,7.5013341551227795
01/30/2024,7.399839231919226
01/29/2024,7.3774179037336935
01/26/2024,7.293962428222312
01/25/2024,7.297738749943806
01/24/2024,7.184340394800192
01/23/2024,7.219461156160084
01/22/2024,7.063496804253031
01/19/2024,7.071394898119533
01/18/2024,6.943717766649226
01/17/2024,6.8933755255456015
01/16/2024,7.206897067848108
01/15/2024,7.3431443798449605
01/12/2024,7.449685967083849
01/11/2024,7.450174115576327
01/10/2024,7.28228910915098
01/09/2024,7.2749869277578645
01/08/2024,7.366384301298068
01/05/2024,7.36858967024417
01/04/2024,7.489352624320968
01/03/2024,7.520861619197266
01/02/2024,7.69764798327726
12/28/2023,7.727015042440338
12/27/2023,7.593937235837811
12/26/2023,7.575172584207193
12/22/2023,7.630175416962111
12/21/2023,7.549410467384851
12/20/2023,7.537088789831474
12/19/2023,7.075562391847721
12/18/2023,7.0044343516486895
12/15/2023,6.950919725353904
12/14/2023,6.892274295460713
12/13/2023,6.756654165591169
12/12/2023,6.794439667962657
12/11/2023,6.831139685813064
12/08/2023,6.840621128398459
12/07/2023,6.7213089825276375
12/06/2023,6.764571602495815
12/05/2023,6.810011324684011
12/04/2023,6.937440787262003
12/01/2023,6.967783614172442
11/30/2023,7.002757961881577
11/29/2023,7.120247041614749
11/28/2023,7.181063729029353
11/27/2023,7.22515584046241
11/24/2023,7.293448167434868
11/23/2023,7.361529476854983
11/22/2023,7.360269876562141
11/21/2023,7.453791139044552
11/20/2023,7.512909178309479
11/17/2023,7.335057715322549
11/16/2023,7.473945639811527
11/15/2023,7.299550796874039
11/14/2023,7.120356247748542
11/13/2023,7.147070835413169
11/10/2023,7.025281920698436
11/09/2023,7.084348018596414
11/08/2023,7.1127885034112355
11/07/2023,7.306657261805273
11/06/2023,7.415687030256311
11/03/2023,7.1245259891983
11/02/2023,7.070661627976725
11/01/2023,6.642726251699474
10/31/2023,6.643806258036862
10/30/2023,6.7853170189098995
10/27/2023,6.827377562115821
10/26/2023,6.582919753177327
10/25/2023,7.043661815353849
10/24/2023,7.199161955140826
10/23/2023,7.211574204868184
10/20/2023,7.016633942133145
10/19/2023,7.205375298382107
10/18/2023,7.33046008767083
10/17/2023,7.151194574548249
10/16/2023,7.084892726127395
10/13/2023,7.076518086899938
10/12/2023,7.178170049141143
10/11/2023,7.156570523595018
10/10/2023,6.880751006077378
10/06/2023,7.0829117314445575
10/05/2023,7.062429209141182
10/04/2023,7.127699690196455
09/27/2023,7.183632528432139
09/26/2023,7.148824177367724
09/25/2023,7.188546150167384
09/22/2023,6.919843890723506
09/21/2023,6.872954699625043
09/20/2023,7.158266326730732
09/19/2023,7.057104553602362
09/18/2023,7.083308161662539
09/15/2023,6.9137626852843175
09/14/2023,6.746733933210346
09/13/2023,6.746456978130612
09/12/2023,6.495267948640666
09/11/2023,6.460805452105604
09/08/2023,6.414675819070172
09/07/2023,6.407857110775082
09/06/2023,6.587921394630732
09/05/2023,6.776350386898054
09/04/2023,7.122485512303165
09/01/2023,7.298441131712636
08/31/2023,7.362991715690346
08/30/2023,7.252026858237258
08/29/2023,7.031315113539071
08/28/2023,6.875886845998249
08/25/2023,6.753289870819751
08/24/2023,6.899571230146748
08/23/2023,6.9675673644255705
08/22/2023,7.036250523419274
08/21/2023,7.013647171062929
08/18/2023,7.012497298586322
08/17/2023,7.005332417213102
08/16/2023,7.018067791548454
08/14/2023,7.036086139658825
08/11/2023,7.012897109061084
08/10/2023,6.958666737725262
08/09/2023,7.087995988786836
08/08/2023,7.003725708909073
08/07/2023,7.19749120391617
08/04/2023,7.597056428692139
08/03/2023,7.567875831348886
08/02/2023,7.684319833852544
08/01/2023,8.240246199641863
07/31/2023,8.283114827324091
07/28/2023,8.234196224817083
07/27/2023,8.159663931162108
07/26/2023,8.287076237965316
07/25/2023,8.42936489905914
07/24/2023,8.545070752873114
07/21/2023,8.69538213098972
07/20/2023,8.626358142593231
07/19/2023,8.791330310737587
07/18/2023,8.478605388272584
07/17/2023,8.532288391347628
07/14/2023,8.755516607059677
07/13/2023,8.788206589970548
07/12/2023,8.726468720353134
07/11/2023,8.520640517114735
07/10/2023,8.348680171884592
07/07/2023,8.304700861285303
07/06/2023,8.64011449103255
07/05/2023,8.223684210526317
07/04/2023,8.284325468891275
07/03/2023,8.051048704631459
06/30/2023,7.9721808849880045
06/29/2023,7.703681237441711
06/28/2023,7.793041272557799
06/27/2023,7.948684342402492
06/26/2023,7.787494065577285
06/23/2023,7.609966305269673
06/22/2023,7.732851152233293
06/21/2023,7.9294472595056655
06/20/2023,7.76296158149944
06/19/2023,7.901777704974298
06/16/2023,8.026184938961842
06/15/2023,8.05375449393221
06/14/2023,8.236674462371942
06/13/2023,8.411119089137348
06/12/2023,8.121037688149043
06/09/2023,8.337344159977642
06/08/2023,8.240762868001326
06/07/2023,8.033052023210002
06/05/2023,8.273342645320726
06/02/2023,8.10955961331901
06/01/2023,7.8727006323972635
05/31/2023,7.93884373608627
05/30/2023,8.0010314125802
05/26/2023,8.103055794250222
05/25/2023,8.07313219471823
05/24/2023,8.46718869626519
05/23/2023,7.995266559456262
05/22/2023,7.8079265279435575
05/19/2023,7.925186241876684
05/18/2023,7.847097546379414
05/17/2023,7.857223032888092
05/16/2023,7.279127697975866
05/15/2023,7.296596167791808
05/12/2023,7.074732458693413
05/11/2023,6.7986882883964554
05/10/2023,6.753069577080491
05/09/2023,6.523610335090077
05/08/2023,6.609780658252383
05/04/2023,6.342686278655352
05/03/2023,6.470499924936196
05/02/2023,6.406722588911901
04/28/2023,6.397178067245104
04/27/2023,6.478064780647807
04/26/2023,6.400562950098067
04/25/2023,6.217987429823973
04/24/2023,6.309053716871849
04/21/2023,5.98973403175987
04/20/2023,6.125365820458723
04/19/2023,6.182159624413146
04/18/2023,6.169185940630123
04/17/2023,6.297506005744296
04/14/2023,6.457048753398951
04/13/2023,6.538756715272448
04/12/2023,6.334472228101472
04/11/2023,5.979684212119835
04/10/2023,5.628688152519292
04/07/2023,5.726235741444866
04/06/2023,5.729637021802977
04/05/2023,5.911082709512507
04/04/2023,5.850667234741855
04/03/2023,5.823734955351366
03/31/2023,5.805793522360359
03/30/2023,5.773262625639761
03/29/2023,5.687705805144265
03/28/2023,5.6121308366546145
03/27/2023,5.5566672310557665
03/24/2023,5.69223422118836
03/23/2023,5.82905608412619
03/22/2023,5.725996484575885
03/21/2023,5.683820262589432
03/20/2023,5.640852939825799
03/17/2023,5.809631111417688
03/16/2023,5.764395658306249
03/15/2023,5.766181346403345
03/14/2023,5.66287864274822
03/13/2023,5.96075897767215
03/10/2023,5.893057004286551
03/09/2023,5.796947698649651
03/08/2023,5.666217932629049
03/07/2023,5.688515738480375
03/06/2023,5.77112741169944
03/03/2023,5.7416488601251325
03/02/2023,5.695247099007335
02/28/2023,5.606810111984462
02/27/2023,5.616870319274734
02/24/2023,5.616483123950235
02/23/2023,5.660638920550815
02/22/2023,5.645117933041989
02/21/2023,5.699887845872575
02/20/2023,5.7241602764877415
02/17/2023,5.6699124861333665
02/16/2023,5.602913825170489
02/15/2023,5.506411202323721
02/14/2023,5.661461901274813
02/13/2023,5.666122551481667
02/10/2023,5.6926594654261615
02/09/2023,5.748949329950044
02/08/2023,5.787174669615747
02/07/2023,5.7905716801383385
02/06/2023,5.789148122888546
02/03/2023,5.951327789483843
02/02/2023,5.964003562062402
02/01/2023,5.913352284297036
01/31/2023,5.845440394344273
01/30/2023,5.749182754078098
01/27/2023,5.822120811036857
01/26/2023,5.701328150307742
01/25/2023,5.581892018703383
01/20/2023,5.593929370561338
01/19/2023,5.569882215988553
01/18/2023,5.6448146375883015
01/17/2023,5.701594992933575
01/16/2023,5.797358533163471
01/13/2023,5.846064403604534
01/12/2023,5.836325288596222
01/11/2023,5.737487863006443
01/10/2023,5.753175897728459
01/09/2023,5.854867313968272
01/06/2023,5.5863254392666155
01/05/2023,5.472438170843413
01/04/2023,5.508018449111724
01/03/2023,5.322396330677353
01/02/2023,5.453300702712486
12/29/2022,5.571030640668523
12/28/2022,5.487388427027155
12/27/2022,5.651804804427116
12/26/2022,5.680257965306491
12/23/2022,5.5488352128614356
12/22/2022,5.655870980791821
12/21/2022,5.689434797518471
12/20/2022,5.87900921174556
12/19/2022,5.736842509465407
12/16/2022,5.655511253625573
12/15/2022,5.467464415982286
12/14/2022,5.495947510613663
12/13/2022,5.728130539450564
12/12/2022,5.706505109846399
12/09/2022,5.736930626915191
12/08/2022,5.520037660779639
12/07/2022,5.39195983710366
12/06/2022,5.350592657713645
12/05/2022,5.50951503990178
12/02/2022,5.543075755368657
12/01/2022,5.547765185474663
11/30/2022,5.4072937709798445
11/29/2022,5.225588819950606
11/28/2022,5.221072788337111
11/25/2022,5.318312222380357
11/24/2022,5.198940593237604
11/23/2022,5.137611942524365
11/22/2022,5.056731358378302
11/21/2022,5.064761316690924
11/18/2022,5.188968029984022
11/17/2022,5.1197958017674425
11/16/2022,5.249560659086471
11/15/2022,5.279839090618191
11/14/2022,5.050847713172159
11/11/2022,4.910965038786756
11/10/2022,4.747805155392784
11/09/2022,4.668034588890517
11/08/2022,4.552539953090629
11/07/2022,4.413872169676125
11/04/2022,4.306552771234782
11/03/2022,4.24454172980861
11/02/2022,4.338012273400579
11/01/2022,4.3540237671832225
10/31/2022,4.271918091222958
10/28/2022,4.217040774083092
10/27/2022,4.280205110819172
10/26/2022,4.223475722100966
10/25/2022,4.245673623489452
10/24/2022,4.164905302111559
10/21/2022,4.1394882087305565
10/20/2022,4.191591540989132
10/19/2022,4.263395504943724
10/18/2022,4.203859142692992
10/17/2022,4.124646683183864
10/14/2022,4.022044701756339
10/13/2022,3.946798552607681
10/12/2022,3.9977035958328666
10/11/2022,3.957479776370984
10/07/2022,4.221074365605643
10/06/2022,4.276145218459877
10/05/2022,4.2486441619830755
10/04/2022,4.301803231288919
09/30/2022,4.032033426183844
09/29/2022,4.077607430617726
09/28/2022,4.125020939192585
09/27/2022,4.36436492535745
09/26/2022,4.467416612898701
09/23/2022,4.859504598544265
09/22/2022,4.973321681551107
09/21/2022,5.154565267263134
09/20/2022,5.200626373784245
09/19/2022,5.146672992186545
09/16/2022,5.2458163530737885
09/15/2022,5.062060287136075
09/14/2022,5.086353056122302
09/13/2022,5.151380167545587
09/08/2022,5.02683143503037
09/07/2022,5.118700270053069
09/06/2022,5.115015395761637
09/05/2022,4.885660949714153
09/02/2022,4.977252114410435
09/01/2022,4.983045849918915
08/31/2022,5.133408941682087
08/30/2022,5.096145299398537
08/29/2022,5.023822402691228
08/26/2022,5.247734952007894
08/25/2022,5.339704032113115
08/24/2022,5.2514024904944385
08/23/2022,5.2356020942408374
08/22/2022,5.2515078586921
08/19/2022,5.37999985055556
08/18/2022,5.466499781340009
08/17/2022,5.6224594461117645
08/16/2022,5.640458858950417
08/12/2022,5.603335939536096
08/11/2022,5.547871522975257
08/10/2022,5.469490258914884
08/09/2022,5.448256863885404
08/08/2022,5.578940078336014
08/05/2022,5.691318821237363
08/04/2022,5.843116533033137
08/03/2022,6.026991768197319
08/02/2022,5.992595137218977
08/01/2022,6.013574591306746
07/29/2022,6.011272092382148
07/28/2022,5.9706309504599
07/27/2022,5.988115191223526
07/26/2022,6.036370851425911
07/25/2022,6.03939331548967
07/22/2022,5.9762630778519075
07/21/2022,5.908059628766769
07/20/2022,5.876113218202215
07/19/2022,5.8581635231684634
07/18/2022,5.736123140508425
07/15/2022,5.66902876198416
07/14/2022,5.775496473469759
07/13/2022,5.7710312648688475
07/12/2022,5.617590558774233
07/11/2022,5.790887173070467
07/08/2022,5.53785230331343
07/07/2022,5.4902323145987815
07/06/2022,5.419929724640011
07/05/2022,5.481120584652863
07/04/2022,5.4557941768850275
07/01/2022,5.598234402995978
06/30/2022,5.8504808508667665
06/29/2022,5.994982376752705
06/28/2022,6.113814586368286
06/27/2022,6.112326655194699
06/24/2022,5.6249418910961655
06/23/2022,5.343235617470459
06/22/2022,5.712521228964026
06/21/2022,6.079851295356852
06/20/2022,6.043348061253705
06/17/2022,6.348029562356647
06/16/2022,6.10774369124196
