Pricing Date,6752 | Share Price (Daily)($),"6752 | Volume (Daily)"
03/07/2025,12.343374557104653,7400600
03/06/2025,12.496288899085044,7867600
03/05/2025,12.214243894560456,8855500
03/04/2025,12.361434748057057,8819300
03/03/2025,12.663706031572708,6418900
02/28/2025,12.398701246856245,9400300
02/27/2025,12.681944564833275,8021100
02/26/2025,12.712999678491054,10744000
02/25/2025,12.461550860320488,8460700
02/21/2025,12.264315058411059,5838700
02/20/2025,12.082846166694504,8199600
02/19/2025,12.211288599279786,10654900
02/18/2025,12.52727260742606,11541000
02/17/2025,12.053285428403484,8635700
02/14/2025,12.047479696182554,11818900
02/13/2025,11.959172731255354,10545200
02/12/2025,11.823538533105907,16981100
02/10/2025,11.762844181875726,7657400
02/07/2025,11.739029793988294,8413100
02/06/2025,11.695444308348808,19262700
02/05/2025,11.419169228343975,39100800
02/04/2025,9.895641259551123,8074500
02/03/2025,9.883442646278832,7306900
01/31/2025,10.308812517751557,9140600
01/30/2025,10.175322655885555,9311600
01/29/2025,9.820990997962289,4878200
01/28/2025,9.700969775646998,7070200
01/27/2025,9.85913665237054,6300400
01/24/2025,9.795923611066502,9104600
01/23/2025,9.924222025618342,5315200
01/22/2025,9.865983596085545,5431400
01/21/2025,9.940485764838344,5860200
01/20/2025,9.927989156618766,5480800
01/17/2025,9.78290774378891,5838000
01/16/2025,9.820209669525797,6238300
01/15/2025,9.9404340081592,4686100
01/14/2025,9.790833628587336,7174400
01/10/2025,9.908956708503077,4907900
01/09/2025,9.996644571486454,6991900
01/08/2025,10.115679935340474,6264900
01/07/2025,10.164042326970785,7458600
01/06/2025,10.261004371251397,7378200
12/30/2024,10.45378194034409,7068400
12/27/2024,10.427184342712719,5741500
12/26/2024,10.309343594157406,5352000
12/25/2024,10.28140940323885,3563000
12/24/2024,10.161671623579654,3501800
12/23/2024,10.299965009383847,7105200
12/20/2024,10.157089494959832,16940800
12/19/2024,9.94083065390689,7882300
12/18/2024,10.295521399489608,5537200
12/17/2024,10.404255457676555,9307000
12/16/2024,10.425308513947941,15071800
12/13/2024,10.24930207133514,9333000
