Pricing Date,STRT | Share Price (Daily)($)
03/07/2025,45.21
03/06/2025,45.49
03/05/2025,47.09
03/04/2025,44.29
03/03/2025,47.48
02/28/2025,49.73
02/27/2025,49.79
02/26/2025,49.99
02/25/2025,49.98
02/24/2025,50.5
02/21/2025,46.96
02/20/2025,50.35
02/19/2025,50.09
02/18/2025,51.49
02/14/2025,48.85
02/13/2025,50.32
02/12/2025,49.54
02/11/2025,46.91
02/10/2025,42.82
02/07/2025,36.85
02/06/2025,38.25
02/05/2025,36.42
02/04/2025,36.84
02/03/2025,37.27
01/31/2025,37.46
01/30/2025,38.58
01/29/2025,38.51
01/28/2025,38.4
01/27/2025,38.675
01/24/2025,39.48
01/23/2025,39.27
01/22/2025,39.61
01/21/2025,39.49
01/17/2025,39.99
01/16/2025,39.69
01/15/2025,39.76
01/14/2025,38.06
01/13/2025,38.42
01/10/2025,38.17
01/08/2025,39.44
01/07/2025,38.38
01/06/2025,40.19
01/03/2025,40.87
01/02/2025,41.08
12/31/2024,41.2
12/30/2024,41.68
12/27/2024,41.3
12/26/2024,41.04
12/24/2024,39.96
12/23/2024,40.86
12/20/2024,42.06
12/19/2024,41.26
12/18/2024,41.09
12/17/2024,43.32
12/16/2024,43.46
12/13/2024,43.97
12/12/2024,41.82
12/11/2024,41.49
12/10/2024,41.84
12/09/2024,41.86
12/06/2024,42.71
12/05/2024,41.7
12/04/2024,42.89
12/03/2024,42.42
12/02/2024,42.57
11/29/2024,41.51
11/27/2024,41.03
11/26/2024,41.25
11/25/2024,41.55
11/22/2024,41.99
11/21/2024,41.67
11/20/2024,39.74
11/19/2024,40.73
11/18/2024,40.4
11/15/2024,40.64
11/14/2024,40.97
11/13/2024,40.94
11/12/2024,40.5
11/11/2024,41.92
11/08/2024,40.31
11/07/2024,40.53
11/06/2024,37.98
11/05/2024,37.01
11/04/2024,37.03
11/01/2024,36.52
10/31/2024,37.55
10/30/2024,39.12
10/29/2024,38.56
10/28/2024,38.99
10/25/2024,39.16
10/24/2024,38.92
10/23/2024,39.41
10/22/2024,40.75
10/21/2024,38.29
10/18/2024,34.6
10/17/2024,36.84
10/16/2024,36.52
10/15/2024,36.85
10/14/2024,37.65
10/11/2024,38.99
10/10/2024,38.45
10/09/2024,38.66
10/08/2024,38.45
10/07/2024,38.9
10/04/2024,37.55
10/03/2024,38.7
10/02/2024,37.78
10/01/2024,41.7
09/30/2024,42.66
09/27/2024,38.8
09/26/2024,38.68
09/25/2024,38.68
09/24/2024,39.1
09/23/2024,39
09/20/2024,38.4
09/19/2024,38.63
09/18/2024,38.18
09/17/2024,38.2
09/16/2024,36.03
09/13/2024,37.64
09/12/2024,37.76
09/11/2024,36.65
09/10/2024,35.73
09/09/2024,34.95
09/06/2024,34.85
09/05/2024,35.42
09/04/2024,36.03
09/03/2024,35.5
08/30/2024,35.47
08/29/2024,34.64
08/28/2024,37.16
08/27/2024,37.98
08/26/2024,38.46
08/23/2024,38.38
08/22/2024,38.5
08/21/2024,39.37
08/20/2024,38.83
08/19/2024,39.76
08/16/2024,38.89
08/15/2024,39.79
08/14/2024,39.18
08/13/2024,38.3
08/12/2024,34.2
08/09/2024,30
08/08/2024,23.8
08/07/2024,22.65
08/06/2024,23.56
08/05/2024,22.74
08/02/2024,23.11
08/01/2024,24.56
07/31/2024,24.52
07/30/2024,24.82
07/29/2024,25.3
07/26/2024,25.87
07/25/2024,25.31
07/24/2024,25.03
07/23/2024,24.99
07/22/2024,24.7
07/19/2024,24.75
07/18/2024,25.47
07/17/2024,25.43
07/16/2024,25.24
07/15/2024,24.52
07/12/2024,23.99
07/11/2024,24.26
07/10/2024,23.74
07/09/2024,23.48
07/08/2024,23.85
07/05/2024,25.03
07/03/2024,24.91
07/02/2024,24.76
07/01/2024,24.9
06/28/2024,25
06/27/2024,25.77
06/26/2024,25.85
06/25/2024,25.83
06/24/2024,24.52
06/21/2024,24.75
06/20/2024,24.57
06/18/2024,25.01
06/17/2024,25.29
06/14/2024,24.24
06/13/2024,25.75
06/12/2024,26.81
06/11/2024,27.44
06/10/2024,27.52
06/07/2024,27.61
06/06/2024,28.14
06/05/2024,28.7
06/04/2024,28.78
06/03/2024,28.96
05/31/2024,27.8
05/30/2024,27.14
05/29/2024,26.35
05/28/2024,26.74
05/24/2024,26
05/23/2024,26.34
05/22/2024,25.9
05/21/2024,24.97
05/20/2024,24.75
05/17/2024,24.79
05/16/2024,25.88
05/15/2024,24.19
05/14/2024,23.67
05/13/2024,24.04
05/10/2024,23.75
05/09/2024,22.38
05/08/2024,21.6
05/07/2024,21.54
05/06/2024,22.75
05/03/2024,22.86
05/02/2024,23.05
05/01/2024,23.035
04/30/2024,22.8
04/29/2024,22.65
04/26/2024,23.0024
04/25/2024,23.0024
04/24/2024,22.52
04/23/2024,21.8
04/22/2024,21.91
04/19/2024,22.45
04/18/2024,22.48
04/17/2024,21.9
04/16/2024,22.91
04/15/2024,23
04/12/2024,24.7
04/11/2024,24.56
04/10/2024,24.27
04/09/2024,24.72
04/08/2024,25
04/05/2024,24.915
04/04/2024,24.4
04/03/2024,23.86
04/02/2024,23.9
04/01/2024,24.06
03/28/2024,23.73
03/27/2024,23.36
03/26/2024,23.35
03/25/2024,23.29
03/22/2024,22.3
03/21/2024,21.84
03/20/2024,22.45
03/19/2024,22.1
03/18/2024,22.11
03/15/2024,22.5
03/14/2024,23.1
03/13/2024,23.71
03/12/2024,23.73
03/11/2024,24.31
03/08/2024,24.65
03/07/2024,24.71
03/06/2024,24.88
03/05/2024,24.75
03/04/2024,24.75
03/01/2024,25.26
02/29/2024,25.5
02/28/2024,25.06
02/27/2024,25.3
02/26/2024,24.745
02/23/2024,24.32
02/22/2024,24.42
02/21/2024,24.89
02/20/2024,25.64
02/16/2024,26.51
02/15/2024,26.8
02/14/2024,26.845
02/13/2024,26.3
02/12/2024,27.61
02/09/2024,27.7
02/08/2024,25.45
02/07/2024,25.42
02/06/2024,26.2469
02/05/2024,25.15
02/02/2024,25.5
02/01/2024,25.48
01/31/2024,25.25
01/30/2024,25.6
01/29/2024,24.88
01/26/2024,24.94
01/25/2024,23.94
01/24/2024,23.05
01/23/2024,22.99
01/22/2024,23.36
01/19/2024,22.98
01/18/2024,23.87
01/17/2024,22.28
01/16/2024,22.26
01/12/2024,22.45
01/11/2024,22.95
