Pricing Date,TSLA | Share Price (Daily)($)
03/07/2025,262.67
03/06/2025,263.45
03/05/2025,279.1
03/04/2025,272.04
03/03/2025,284.65
02/28/2025,292.98
02/27/2025,281.95
02/26/2025,290.8
02/25/2025,302.8
02/24/2025,330.53
02/21/2025,337.8
02/20/2025,354.4
02/19/2025,360.56
02/18/2025,354.11
02/14/2025,355.84
02/13/2025,355.94
02/12/2025,336.51
02/11/2025,328.5
02/10/2025,350.73
02/07/2025,361.62
02/06/2025,374.32
02/05/2025,378.17
02/04/2025,392.21
02/03/2025,383.68
01/31/2025,404.6
01/30/2025,400.28
01/29/2025,389.1
01/28/2025,398.09
01/27/2025,397.15
01/24/2025,406.58
01/23/2025,412.38
01/22/2025,415.11
01/21/2025,424.07
01/17/2025,426.5
01/16/2025,413.82
01/15/2025,428.22
01/14/2025,396.36
01/13/2025,403.31
01/10/2025,394.74
01/08/2025,394.94
01/07/2025,394.36
01/06/2025,411.05
01/03/2025,410.44
01/02/2025,379.28
12/31/2024,403.84
12/30/2024,417.41
12/27/2024,431.66
12/26/2024,454.13
12/24/2024,462.28
12/23/2024,430.6
12/20/2024,421.06
12/19/2024,436.17
12/18/2024,440.13
12/17/2024,479.86
12/16/2024,463.02
12/13/2024,436.23
12/12/2024,418.1
12/11/2024,424.77
12/10/2024,400.99
12/09/2024,389.79
12/06/2024,389.22
12/05/2024,369.49
12/04/2024,357.93
12/03/2024,351.42
12/02/2024,357.09
11/29/2024,345.16
11/27/2024,332.89
11/26/2024,338.23
11/25/2024,338.59
11/22/2024,352.56
11/21/2024,339.64
11/20/2024,342.03
11/19/2024,346
11/18/2024,338.74
11/15/2024,320.72
11/14/2024,311.18
11/13/2024,330.24
11/12/2024,328.49
11/11/2024,350
11/08/2024,321.22
11/07/2024,296.91
11/06/2024,288.53
11/05/2024,251.44
11/04/2024,242.84
11/01/2024,248.98
10/31/2024,249.85
10/30/2024,257.55
10/29/2024,259.52
10/28/2024,262.51
10/25/2024,269.19
10/24/2024,260.48
10/23/2024,213.65
10/22/2024,217.97
10/21/2024,218.85
10/18/2024,220.7
10/17/2024,220.89
10/16/2024,221.33
10/15/2024,219.57
10/14/2024,219.16
10/11/2024,217.8
10/10/2024,238.77
10/09/2024,241.05
10/08/2024,244.5
10/07/2024,240.83
10/04/2024,250.08
10/03/2024,240.66
10/02/2024,249.02
10/01/2024,258.02
09/30/2024,261.63
09/27/2024,260.46
09/26/2024,254.22
09/25/2024,257.02
09/24/2024,254.27
09/23/2024,250
09/20/2024,238.25
09/19/2024,243.92
09/18/2024,227.2
09/17/2024,227.87
09/16/2024,226.78
09/13/2024,230.29
09/12/2024,229.81
09/11/2024,228.13
09/10/2024,226.17
09/09/2024,216.27
09/06/2024,210.73
09/05/2024,230.17
09/04/2024,219.41
09/03/2024,210.6
08/30/2024,214.11
08/29/2024,206.28
08/28/2024,205.75
08/27/2024,209.21
08/26/2024,213.21
08/23/2024,220.32
08/22/2024,210.66
08/21/2024,223.27
08/20/2024,221.1
08/19/2024,222.72
08/16/2024,216.12
08/15/2024,214.14
08/14/2024,201.38
08/13/2024,207.83
08/12/2024,197.49
08/09/2024,200
08/08/2024,198.84
08/07/2024,191.76
08/06/2024,200.64
08/05/2024,198.88
08/02/2024,207.67
08/01/2024,216.86
07/31/2024,232.07
07/30/2024,222.62
07/29/2024,232.1
07/26/2024,219.8
07/25/2024,220.25
07/24/2024,215.99
07/23/2024,246.38
07/22/2024,251.51
07/19/2024,239.2
07/18/2024,249.23
07/17/2024,248.5
07/16/2024,256.56
07/15/2024,252.64
07/12/2024,248.23
07/11/2024,241.03
07/10/2024,263.26
07/09/2024,262.33
07/08/2024,252.94
07/05/2024,251.52
07/03/2024,246.39
07/02/2024,231.26
07/01/2024,209.86
06/28/2024,197.88
06/27/2024,197.42
06/26/2024,196.37
06/25/2024,187.35
06/24/2024,182.58
06/21/2024,183.01
06/20/2024,181.57
06/18/2024,184.86
06/17/2024,187.44
06/14/2024,178.01
06/13/2024,182.47
06/12/2024,177.29
06/11/2024,170.66
06/10/2024,173.79
06/07/2024,177.48
06/06/2024,177.94
06/05/2024,175
06/04/2024,174.77
06/03/2024,176.29
05/31/2024,178.08
05/30/2024,178.79
05/29/2024,176.19
05/28/2024,176.75
05/24/2024,179.24
05/23/2024,173.74
05/22/2024,180.11
05/21/2024,186.6
05/20/2024,174.95
05/17/2024,177.46
05/16/2024,174.84
05/15/2024,173.99
05/14/2024,177.55
05/13/2024,171.89
05/10/2024,168.47
05/09/2024,171.97
05/08/2024,174.72
05/07/2024,177.81
05/06/2024,184.76
05/03/2024,181.19
05/02/2024,180.01
05/01/2024,179.99
04/30/2024,183.28
04/29/2024,194.05
04/26/2024,168.29
04/25/2024,170.18
04/24/2024,162.13
04/23/2024,144.68
04/22/2024,142.05
04/19/2024,147.05
04/18/2024,149.93
04/17/2024,155.45
04/16/2024,157.11
04/15/2024,161.48
04/12/2024,171.05
04/11/2024,174.6
04/10/2024,171.76
04/09/2024,176.88
04/08/2024,172.98
04/05/2024,164.9
04/04/2024,171.11
04/03/2024,168.38
04/02/2024,166.63
04/01/2024,175.22
03/28/2024,175.79
03/27/2024,179.83
03/26/2024,177.67
03/25/2024,172.63
03/22/2024,170.83
03/21/2024,172.82
03/20/2024,175.66
03/19/2024,171.32
03/18/2024,173.8
03/15/2024,163.57
03/14/2024,162.5
03/13/2024,169.48
03/12/2024,177.54
03/11/2024,177.77
03/08/2024,175.34
03/07/2024,178.65
03/06/2024,176.54
03/05/2024,180.74
03/04/2024,188.14
03/01/2024,202.64
02/29/2024,201.88
02/28/2024,202.04
02/27/2024,199.73
02/26/2024,199.4
02/23/2024,191.97
02/22/2024,197.41
02/21/2024,194.77
02/20/2024,193.76
02/16/2024,199.95
02/15/2024,200.45
02/14/2024,188.71
02/13/2024,184.02
02/12/2024,188.13
02/09/2024,193.57
02/08/2024,189.56
02/07/2024,187.58
02/06/2024,185.1
02/05/2024,181.06
02/02/2024,187.91
02/01/2024,188.86
01/31/2024,187.29
01/30/2024,191.59
01/29/2024,190.93
01/26/2024,183.25
01/25/2024,182.63
01/24/2024,207.83
01/23/2024,209.14
01/22/2024,208.8
01/19/2024,212.19
01/18/2024,211.88
01/17/2024,215.55
01/16/2024,219.91
01/12/2024,218.89
01/11/2024,227.22
01/10/2024,233.94
01/09/2024,234.96
01/08/2024,240.45
01/05/2024,237.49
01/04/2024,237.93
01/03/2024,238.45
01/02/2024,248.42
12/29/2023,248.48
12/28/2023,253.18
